team,season,avg,oba,slg,OPS,wOBA,wRC+,WAR*,ERA,FIP,WHIP,ERA+,FIP+,WAR,wprob,POSADJ,RAAwithADJ,WAAwithADJ
µÎ»ê,5,0.27,0.351,0.365,0.715,0.33,97.9,21.79,3.42,3.95,1.31,121.2,104.9,27.26,0.585365854,12.54,30.1,3.045
SK,5,0.269,0.355,0.403,0.757,0.339,104.6,25.13,3.42,4.05,1.26,120.8,101.9,25.16,0.583333333,10.52,25.25,2.555
ÇÑÈ­,5,0.27,0.341,0.434,0.775,0.351,111.6,28.62,4.41,4.39,1.42,99.2,99.8,19.05,0.512,9.8,23.52,2.38
·Ôµ¥,5,0.253,0.322,0.372,0.694,0.315,87.4,16.2,4.31,3.83,1.34,95.6,107.4,21.73,0.464,15.71,37.71,3.815
LG,5,0.26,0.327,0.389,0.717,0.324,94.1,22.48,4.9,4.33,1.54,85,96.1,12.62,0.432,18.18,43.64,4.415
Çö´ë,5,0.256,0.344,0.399,0.743,0.336,102.2,24.55,4.7,4.38,1.43,91.2,98,16.24,0.430894309,12.66,30.39,3.075
KIA,5,0.26,0.337,0.38,0.717,0.326,95.3,19.51,4.85,4.88,1.52,87.7,87.1,11.45,0.392,10.11,24.27,2.455
Çö´ë,4,0.275,0.37,0.413,0.783,0.354,110.1,31.88,4.07,4.14,1.38,106.4,104.6,24.4,0.5859375,12.63,30.3,3.02
»ï¼º,4,0.269,0.346,0.411,0.757,0.343,102.2,26.73,3.76,4.01,1.34,115.4,108.3,27.09,0.584,16.22,38.93,3.88
µÎ»ê,4,0.268,0.342,0.381,0.723,0.333,95.4,21.46,3.88,3.95,1.36,107.9,106.1,25.07,0.53030303,15.78,37.88,3.775
KIA,4,0.267,0.354,0.419,0.773,0.349,106.5,28.86,4.52,4.48,1.43,96.6,97.5,21.03,0.5234375,16.58,39.79,3.965
SK,4,0.272,0.357,0.411,0.768,0.347,105.4,25.97,4.39,4.32,1.45,95.8,97.4,19.01,0.488,12.36,29.65,2.955
LG,4,0.259,0.337,0.379,0.716,0.328,91.7,18.5,4.38,4.38,1.52,95.7,95.9,16.75,0.457364341,11.35,27.24,2.715
ÇÑÈ­,4,0.268,0.34,0.423,0.764,0.343,102.5,24.4,5.24,4.99,1.48,84,88.4,12.08,0.417322835,12.48,29.95,2.985
·Ôµ¥,4,0.252,0.327,0.364,0.691,0.317,84.8,15.36,4.22,4.09,1.4,101.2,104.3,22.8,0.409836066,10.75,25.79,2.57
Çö´ë,3,0.286,0.374,0.456,0.829,0.363,117.7,37.5,4.16,3.95,1.43,103.9,109.3,23.78,0.610687023,16.92,40.61,4.08
KIA,3,0.272,0.349,0.416,0.765,0.34,101.8,26.26,3.65,4.16,1.28,117.3,102.9,25.71,0.609375,10.87,26.08,2.62
»ï¼º,3,0.284,0.36,0.482,0.842,0.369,121.3,37.22,4.37,4.22,1.43,99.9,103.4,22.77,0.589147287,11.36,27.28,2.74
SK,3,0.272,0.35,0.431,0.781,0.344,104.8,25.84,4.44,4.39,1.43,93.9,95.1,17.27,0.507692308,11.03,26.48,2.66
ÇÑÈ­,3,0.254,0.343,0.393,0.736,0.33,94.4,20.36,4.38,4.25,1.36,99.1,102.2,22.43,0.4921875,12.38,29.71,2.985
LG,3,0.249,0.32,0.378,0.697,0.313,82.2,13.46,4.01,4.18,1.48,103.6,99.3,21.01,0.458015267,10.93,26.23,2.635
µÎ»ê,3,0.276,0.346,0.39,0.736,0.332,96,20.73,4.25,4.14,1.41,97.9,100.5,19.11,0.435114504,10.76,25.83,2.595
·Ôµ¥,3,0.256,0.317,0.365,0.682,0.307,78.5,11.19,5.01,4.88,1.49,84.5,86.8,10.44,0.3,10.91,26.18,2.63
»ï¼º,2,0.284,0.36,0.472,0.831,0.362,122.7,38.22,3.92,4.07,1.31,110,106,25.54,0.635658915,11.63,27.92,2.805
KIA,2,0.269,0.344,0.402,0.746,0.331,101.9,28.11,3.92,4.34,1.3,108.5,98.1,22.4,0.604651163,10.82,25.98,2.61
Çö´ë,2,0.261,0.342,0.432,0.774,0.336,105.2,26.6,4.24,4.24,1.38,100.7,100.7,21.6,0.546875,11.47,27.52,2.765
µÎ»ê,2,0.261,0.331,0.396,0.726,0.322,95.2,21.04,3.93,3.77,1.37,104.7,109.3,24.76,0.503816794,11.2,26.87,2.7
LG,2,0.261,0.332,0.385,0.717,0.316,91,20.25,3.94,4.41,1.36,105,93.8,20.63,0.519685039,11.4,27.37,2.75
SK,2,0.27,0.339,0.433,0.772,0.336,105.2,26.92,4.47,4.47,1.32,94.1,94.1,17.29,0.469230769,11.57,27.77,2.79
ÇÑÈ­,2,0.256,0.328,0.42,0.748,0.328,99.6,22.5,4.79,4.17,1.39,90.7,104.2,20.39,0.4609375,12.5,30.01,3.015
·Ôµ¥,2,0.245,0.305,0.356,0.661,0.295,76.7,8.23,4.74,4.43,1.47,88.8,94.9,13.49,0.265151515,10.74,25.78,2.59
»ï¼º,1,0.277,0.36,0.447,0.807,0.36,106.8,27.89,4.41,4.66,1.48,108.9,103.2,25.57,0.609022556,13.12,31.48,2.925
Çö´ë,1,0.268,0.363,0.429,0.791,0.356,104.6,25.44,4.34,4.37,1.51,108.2,107.4,25.33,0.558139535,14.1,33.85,3.145
µÎ»ê,1,0.276,0.359,0.421,0.78,0.353,102.1,27.3,4.96,4.66,1.56,92.2,98.1,17.56,0.5078125,12.85,30.84,2.865
ÇÑÈ­,1,0.275,0.357,0.426,0.783,0.351,101.1,25.55,4.85,4.72,1.54,100.8,103.5,20.97,0.472868217,10.94,26.26,2.44
SK,1,0.26,0.337,0.391,0.728,0.327,84.7,13.97,4.41,4.67,1.41,106.7,100.8,22.81,0.458015267,6.44,15.45,1.435
ÇØÅÂ/KIA,1,0.278,0.353,0.428,0.782,0.352,101.6,24.45,5.02,5.04,1.47,94.8,94.3,17.06,0.46875,11.59,27.82,2.585
·Ôµ¥,1,0.28,0.366,0.425,0.791,0.354,103.3,27.54,4.68,4.62,1.5,100.2,101.5,21.38,0.457364341,12.33,29.6,2.75
LG,1,0.276,0.363,0.391,0.754,0.342,95.1,21.7,5.13,4.92,1.6,89.5,93.3,16.18,0.464,12.11,29.06,2.7
Çö´ë,0,0.278,0.365,0.483,0.849,0.369,119.2,38.53,3.64,3.72,1.31,124.2,121.5,33.47,0.694656489,14.41,34.59,3.27
µÎ»ê,0,0.289,0.359,0.441,0.8,0.356,110.2,32.18,4.22,4.32,1.46,105.8,103.5,23.62,0.571428571,14.21,34.11,3.225
»ï¼º,0,0.269,0.348,0.447,0.795,0.35,105.9,27.09,4.64,4.61,1.48,102.3,102.9,23.36,0.5390625,12.65,30.36,2.87
LG,0,0.273,0.356,0.414,0.77,0.342,100.8,24.87,4.27,4.11,1.33,104.8,108.9,26.5,0.515384615,11.06,26.55,2.51
·Ôµ¥,0,0.26,0.334,0.385,0.719,0.321,87,16.87,4.02,4.24,1.32,115.7,109.7,28.98,0.503875969,12.32,29.56,2.795
ÇØÅÂ,0,0.252,0.333,0.363,0.696,0.315,83.1,12.64,4.95,5.04,1.48,94.3,92.6,17.37,0.441860465,11.26,27.03,2.555
ÇÑÈ­,0,0.276,0.346,0.457,0.803,0.352,107.5,27.07,5.24,5.39,1.5,90.8,88.3,13.92,0.390625,11.22,26.92,2.545
SK,0,0.26,0.332,0.383,0.716,0.321,86.6,15.12,5.99,5.55,1.65,77.5,83.7,6.87,0.338461538,6.72,16.13,1.525
µÎ»ê,99,0.285,0.355,0.438,0.793,0.346,100.8,26.54,4.58,4.79,1.44,105.2,100.7,23.49,0.598425197,12.62,30.29,2.735
·Ôµ¥,99,0.291,0.363,0.461,0.824,0.355,106.9,28.06,4.18,4.64,1.32,120.1,108.3,28.67,0.590551181,12.64,30.34,2.74
»ï¼º,99,0.273,0.352,0.46,0.812,0.35,103.3,26.99,5.16,4.79,1.5,98.3,106,24.11,0.561538462,10.89,26.13,2.36
ÇÑÈ­,99,0.283,0.353,0.484,0.838,0.36,109.6,29.09,4.88,4.87,1.39,104.4,104.8,24.04,0.553846154,11.14,26.74,2.415
Çö´ë,99,0.272,0.359,0.418,0.777,0.339,96.2,20.52,4.47,4.61,1.47,110.4,107.1,25.35,0.535433071,13.03,31.28,2.825
LG,99,0.281,0.35,0.442,0.792,0.345,100.4,26.26,5.49,5.11,1.56,88.6,95.1,15.42,0.465648855,15.3,36.71,3.315
ÇØÅÂ,99,0.278,0.362,0.467,0.829,0.359,109.4,29.08,5.21,5.35,1.48,97.5,94.8,17.46,0.465116279,10.91,26.19,2.365
½Ö¹æ¿ï,99,0.248,0.32,0.358,0.678,0.303,71.9,7.43,5.85,5.68,1.57,84.2,86.8,10.9,0.224,10.29,24.69,2.23
Çö´ë,98,0.27,0.344,0.434,0.778,0.341,113.2,30.89,3.03,3.63,1.25,131.4,109.4,27.63,0.642857143,11.38,27.31,2.84
»ï¼º,98,0.268,0.346,0.428,0.773,0.338,110.7,28.2,4.32,4.51,1.42,95.2,91.2,16.21,0.532258065,5.89,14.14,1.47
LG,98,0.267,0.339,0.401,0.74,0.329,104.9,27.2,4.18,4.05,1.32,92.5,95.6,15.79,0.504,12.28,29.47,3.065
ÇØÅÂ,98,0.258,0.325,0.376,0.701,0.311,92.4,16.74,3.91,3.82,1.28,103.5,106,24.06,0.488,9.34,22.41,2.33
OB,98,0.256,0.317,0.383,0.7,0.311,91.9,19.4,3.6,3.77,1.32,106.9,102.3,22.15,0.495934959,9.68,23.22,2.415
½Ö¹æ¿ï,98,0.261,0.334,0.391,0.725,0.32,98.3,22.82,4.04,4.19,1.34,98.3,94.8,17.36,0.467741935,11.3,27.12,2.82
ÇÑÈ­,98,0.25,0.316,0.392,0.708,0.312,92.9,18.01,4.26,3.83,1.35,96.1,106.9,21.02,0.454545455,9.3,22.31,2.32
·Ôµ¥,98,0.255,0.329,0.381,0.709,0.315,94.9,19.44,4.61,4.15,1.37,87.9,97.6,15.47,0.409836066,11.7,28.08,2.92
ÇØÅÂ,97,0.258,0.34,0.408,0.748,0.333,106.3,27.63,3.65,3.89,1.22,111.6,104.7,24.75,0.6,9.75,23.39,2.43
LG,97,0.267,0.343,0.394,0.737,0.33,104.2,27.28,3.78,3.86,1.26,102.8,100.7,22.44,0.588709677,9.99,23.97,2.49
½Ö¹æ¿ï,97,0.269,0.351,0.414,0.766,0.337,109.1,27.61,3.82,3.92,1.31,105.1,102.3,22.81,0.572580645,10.63,25.51,2.65
»ï¼º,97,0.277,0.356,0.462,0.819,0.359,124,38.92,4.23,4.25,1.41,97.9,97.5,17.72,0.554621849,6.62,15.88,1.65
OB,97,0.254,0.324,0.361,0.685,0.311,91.1,19.84,3.84,3.55,1.37,101.6,110,21.87,0.47107438,15.84,38.02,3.95
ÇÑÈ­,97,0.253,0.325,0.381,0.707,0.314,93.6,18.23,4.06,4.13,1.29,99.7,97.9,20.2,0.411290323,8.4,20.17,2.095
Çö´ë,97,0.247,0.327,0.361,0.688,0.308,89.2,15.53,4.21,4.19,1.33,94.7,95.3,16.58,0.418032787,9.67,23.2,2.41
·Ôµ¥,97,0.237,0.305,0.345,0.65,0.294,80,9.38,4.58,4.39,1.46,89.4,93.4,14.68,0.384,6.7,16.08,1.67
ÇØÅÂ,96,0.245,0.329,0.366,0.695,0.319,101,26.12,3.14,3.61,1.16,119,103.7,26.57,0.588709677,9.11,21.87,2.38
ÇÑÈ­,96,0.245,0.327,0.372,0.699,0.317,99.9,21.99,3.79,3.26,1.22,96.2,112,24.31,0.56,8.92,21.41,2.33
½Ö¹æ¿ï,96,0.264,0.34,0.369,0.709,0.319,101.2,23.97,3.33,3.5,1.29,110.7,105.3,24.03,0.564516129,10.24,24.58,2.675
Çö´ë,96,0.243,0.318,0.371,0.689,0.311,96,20.09,3.04,3.4,1.19,120.8,108,25.8,0.553719008,9.4,22.56,2.455
·Ôµ¥,96,0.274,0.34,0.393,0.733,0.333,110.8,29.94,4.16,3.78,1.36,90.6,99.8,16.87,0.475,12.45,29.87,3.25
»ï¼º,96,0.249,0.327,0.37,0.697,0.32,102.1,23.56,4.25,4.27,1.45,88.9,88.5,14.2,0.446280992,7.89,18.93,2.06
LG,96,0.246,0.33,0.364,0.694,0.317,100.1,22.28,4.11,3.93,1.36,86.9,91.1,12.95,0.41322314,9.38,22.52,2.45
OB,96,0.242,0.305,0.355,0.66,0.301,88.1,14.21,3.67,3.76,1.32,96.7,94.4,16.77,0.391666667,10.36,24.86,2.705
LG,95,0.257,0.334,0.372,0.706,0.321,105.7,26.04,3.21,3.42,1.17,111,104.2,23.69,0.606557377,8.35,20.03,2.17
OB,95,0.266,0.326,0.399,0.725,0.327,110.5,29.74,3.42,3.49,1.25,103.9,102.1,21.67,0.611570248,12.33,29.59,3.205
·Ôµ¥,95,0.255,0.333,0.364,0.696,0.318,103.4,27.29,3.47,3.6,1.21,109.2,105.3,23.9,0.561983471,10.33,24.79,2.685
ÇØÅÂ,95,0.242,0.309,0.345,0.654,0.297,89.2,16.45,3.06,3.27,1.16,123,115.5,31.38,0.524590164,8.46,20.31,2.2
»ï¼º,95,0.25,0.324,0.374,0.699,0.318,103.7,23.08,3.9,3.95,1.32,97.1,95.7,17.63,0.5,10.83,25.99,2.815
ÇÑÈ­,95,0.249,0.323,0.38,0.703,0.316,102.3,22.98,4.04,3.78,1.34,91.6,97.9,16.96,0.436507937,9.5,22.8,2.47
ÅÂÆò¾ç,95,0.234,0.305,0.345,0.65,0.297,88.7,16.06,3.92,3.61,1.34,94.7,102.7,19.24,0.396694215,9.66,23.17,2.51
½Ö¹æ¿ï,95,0.254,0.32,0.364,0.683,0.308,96.5,20.57,4.67,4.57,1.45,80,81.7,8.31,0.365853659,11.48,27.56,2.985
LG,94,0.282,0.358,0.409,0.767,0.352,123.6,38.57,3.14,3.56,1.2,116,102.3,23.62,0.642857143,9.79,23.49,2.545
ÅÂÆò¾ç,94,0.244,0.316,0.365,0.681,0.309,93.1,18.49,3.5,3.39,1.31,109.7,113.3,28.42,0.552845528,13.9,33.36,3.615
ÇÑÈ­,94,0.247,0.324,0.345,0.669,0.307,91.5,16.46,3.52,3.58,1.24,107.6,105.8,23.44,0.524193548,9.5,22.8,2.47
ÇØÅÂ,94,0.271,0.328,0.388,0.715,0.325,104,26.55,3.6,3.79,1.26,106.5,101.2,21.88,0.524193548,10.02,24.04,2.605
»ï¼º,94,0.26,0.34,0.386,0.726,0.332,108.9,27.19,3.47,3.85,1.28,110.7,100,21.41,0.483870968,9.84,23.63,2.56
·Ôµ¥,94,0.257,0.323,0.357,0.68,0.313,96.3,20.55,4.44,4.11,1.42,86.8,93.8,15.33,0.455284553,8.77,21.04,2.28
OB,94,0.246,0.313,0.348,0.662,0.304,89,15.99,3.46,3.47,1.31,105.2,105,16.43,0.424,10.61,25.47,2.76
½Ö¹æ¿ï,94,0.248,0.316,0.359,0.675,0.308,92.5,17.92,4.74,4.38,1.47,79.1,85.6,9.73,0.388429752,9.94,23.86,2.585
ÇØÅÂ,93,0.251,0.33,0.368,0.698,0.326,110.3,30,2.92,3.09,1.16,113.5,107.6,28.04,0.658536585,10.52,25.26,2.96
»ï¼º,93,0.268,0.344,0.408,0.752,0.349,127,38.88,2.95,3.39,1.27,112.8,98.2,21.55,0.603305785,11.38,27.3,3.2
OB,93,0.258,0.328,0.36,0.688,0.318,104.5,23.87,2.89,2.82,1.18,108.5,111,26.21,0.545454545,9.08,21.8,2.555
LG,93,0.256,0.323,0.366,0.689,0.32,106,25.55,3.07,3.26,1.25,103,97,19.69,0.536585366,8.96,21.5,2.52
·Ôµ¥,93,0.248,0.319,0.328,0.647,0.301,92.5,19.11,3.33,3.2,1.28,100.8,105.1,21.36,0.496,7.82,18.77,2.2
ºù±×·¹,93,0.238,0.317,0.347,0.664,0.311,99.2,21.34,3.46,3.34,1.25,95.9,99.4,18.37,0.5,5.48,13.14,1.54
½Ö¹æ¿ï,93,0.225,0.302,0.301,0.603,0.286,81,10.15,4,3.88,1.41,81.9,84.3,10.67,0.355371901,9.24,22.19,2.6
ÅÂÆò¾ç,93,0.227,0.293,0.302,0.595,0.278,75.3,10.57,3.58,3.23,1.33,91,100.9,16.72,0.293103448,16.85,40.45,4.74
ºù±×·¹,92,0.267,0.351,0.431,0.782,0.351,109.5,29.36,3.68,4.07,1.29,117.6,106.4,25.64,0.653225806,12,28.81,2.84
·Ôµ¥,92,0.288,0.366,0.417,0.782,0.352,110,30.33,4.28,4.06,1.4,103,108.4,23.36,0.563492063,10.8,25.92,2.555
ÇØÅÂ,92,0.272,0.365,0.425,0.789,0.359,114.5,32.47,4.21,4.19,1.36,102.7,103.1,22.23,0.568,13.93,33.42,3.295
»ï¼º,92,0.265,0.349,0.404,0.752,0.342,103.2,26.53,4.55,4.63,1.53,96.4,94.7,17.53,0.540322581,12.07,28.96,2.855
OB,92,0.259,0.332,0.393,0.725,0.326,92.4,18.03,4.22,4.26,1.42,98.5,97.5,19.25,0.459016393,10.1,24.24,2.39
ÅÂÆò¾ç,92,0.256,0.328,0.38,0.709,0.319,87.9,16.47,4.48,4.49,1.47,96.4,96.2,18.44,0.455284553,17.14,41.13,4.055
LG,92,0.257,0.331,0.384,0.715,0.325,91.7,17.37,4.29,3.96,1.47,97.2,105.3,19.83,0.430894309,9.45,22.67,2.235
