team,season,avg,oba,slg,OPS,wOBA,wRC+,WAR*,ERA,FIP,WHIP,ERA+,FIP+,WAR,wprob,POSADJ,RAAwithADJ,WAAwithADJ
MBC,87,0.258,0.32,0.342,0.662,0.31,86.6,12.78,3.36,3.49,1.34,102.5,98.7,18.31,0.495049505,6.75,16.19,1.8
ºù±×·¹,87,0.274,0.342,0.368,0.71,0.33,101.6,18.87,3.78,3.7,1.31,96.9,98.9,16.29,0.451923077,12.99,31.17,3.465
Ã»º¸,87,0.242,0.323,0.34,0.664,0.313,89.5,14.32,4.36,3.77,1.45,82.4,95.2,10.48,0.386792453,12.8,30.72,3.415
»ï¼º,86,0.276,0.345,0.398,0.744,0.346,123.2,30.54,2.95,3.33,1.28,104.7,92.8,16.33,0.654205607,7.92,19.02,2.235
ÇØÅÂ,86,0.259,0.325,0.39,0.715,0.332,113,24.28,2.86,2.62,1.21,106.8,116.3,24.65,0.644230769,7.27,17.44,2.05
MBC,86,0.265,0.33,0.353,0.682,0.318,103,21.34,2.78,2.91,1.24,106.7,101.8,19.94,0.59,6.91,16.59,1.95
OB,86,0.249,0.319,0.331,0.65,0.303,91.8,14.86,2.61,3.11,1.24,113.8,95.6,18.64,0.538461538,8.42,20.21,2.375
·Ôµ¥,86,0.248,0.316,0.333,0.649,0.303,91.6,14.79,2.74,2.76,1.24,108.7,107.7,21.74,0.490196078,8.05,19.31,2.27
Ã»º¸,86,0.219,0.293,0.322,0.615,0.289,81.9,8.87,3.99,3.39,1.41,78.9,93,9.38,0.301886792,6.98,16.76,1.97
ºù±×·¹,86,0.236,0.323,0.325,0.647,0.307,94.7,14.92,3.67,3.48,1.28,85.5,90.2,10.55,0.289719626,5.99,14.38,1.69
»ï¼º,85,0.276,0.355,0.417,0.772,0.351,117.9,29.97,2.98,3.18,1.24,119.4,111.6,25.23,0.706422018,11.05,26.51,2.905
·Ôµ¥,85,0.256,0.327,0.377,0.704,0.321,97,18.04,3.05,3.06,1.27,111.9,111.3,21.83,0.536363636,10.89,26.14,2.865
ÇØÅÂ,85,0.272,0.337,0.402,0.74,0.34,110.3,24.8,3.89,3.47,1.38,89.8,100.5,15.76,0.52293578,8.97,21.54,2.36
OB,85,0.26,0.331,0.37,0.701,0.322,97.4,19.23,3.16,3.46,1.28,113,103.2,19.76,0.472222222,8.61,20.67,2.265
MBC,85,0.246,0.313,0.322,0.635,0.297,79.1,9.16,3.24,3.61,1.31,102.9,92.6,15.86,0.403669725,7.6,18.25,2
»ï¹Ì/Ã»º¸,85,0.252,0.328,0.36,0.688,0.32,96.3,19.89,4.88,4.35,1.56,74.7,83.7,5.24,0.357798165,14.26,34.22,3.75
OB,84,0.257,0.333,0.36,0.693,0.32,100.3,17.82,2.53,3.12,1.19,132.7,107.8,22.16,0.585858586,8.04,19.29,2.205
»ï¼º,84,0.27,0.343,0.396,0.739,0.339,113.9,24.07,3.35,3.13,1.34,99.5,106.5,17.6,0.55,9.3,22.31,2.55
MBC,84,0.253,0.322,0.355,0.677,0.314,95.6,15.5,3.19,3.24,1.28,96.8,95.3,13.39,0.515151515,6.49,15.58,1.78
